peak_amplitude,peak_abs,rise_time_us,tail_energy,tail_rms,tail_std,tail_max_abs,tail_mean_abs,tail_skew,tail_kurtosis,tail_zcr,tail_decay_rate,width_50pct,width_10pct,energy_asymmetry,reflection_ratio,time_to_reflection_us,full_rms,full_energy,full_skew,full_kurtosis,spectral_centroid_mhz,spectral_bandwidth_mhz,peak_freq_mhz,band_energy_0,band_energy_1,band_energy_2,band_energy_3,spectral_entropy,wavelet_energy_0,wavelet_std_0,wavelet_energy_1,wavelet_std_1,wavelet_energy_2,wavelet_std_2,wavelet_energy_3,wavelet_std_3,wavelet_energy_4,wavelet_std_4,file,file_idx,pulse_idx
-1.27647066116333,1.27647066116333,0.02,2.5294869779829323,0.09504673621027056,0.09502397781760917,0.1931372731924057,0.08063725910615176,-0.5747158940218664,2.2507906431238585,0.010714285714285714,-0.001862822850509186,0.09,0.39499999999999996,0.17875296328217352,0.15130568923633284,0.0,0.24554717998287484,19.59536071920126,-2.967118632198582,12.158664513013395,2.90051703809919,3.4043022316291345,1.846153846153846,0.9603148410874668,0.03905245700474928,0.0005485692174638915,8.413269029013843e-05,2.545264165798453,2.684406651351227,0.3323029726973803,0.06650333023727538,0.051556849407237086,0.041440884127167586,0.03177287891376385,0.007195354841822637,0.00978420415413616,0.001313725509728604,0.0029810009540485985,26-04-27-16-58.mat,0,0
-1.2519608736038208,1.2519608736038208,0.0,2.634925331358036,0.0970074616305003,0.09698649443067116,0.20098040997982025,0.08305322599647168,-0.5737041295982719,2.2082367906935048,0.014285714285714285,-0.0012172322414700306,0.08499999999999999,0.385,0.1428960410733251,0.1605325008162888,0.0,0.24348616020572403,19.26779081881144,-2.9190076321020246,11.923782392722773,2.8735958880096386,3.4319986447522877,1.846153846153846,0.9598229540733769,0.03957732214163602,0.0005162580783276532,8.346570662915138e-05,2.534059094167718,2.941009853631228,0.3463462380009955,0.057961646650210925,0.04833592859083967,0.05227451668439933,0.03564319976764017,0.008486816606541173,0.010629767680388164,0.00133758929731661,0.0030549937616297577,26-04-27-16-58.mat,0,1
-1.2441177368164062,1.2441177368164062,0.02,2.526959128261612,0.09499923173113432,0.09496408161939165,0.19705884158611298,0.08137955618939097,-0.6220896925757855,2.269852952703054,0.014285714285714285,-0.0006798703396990451,0.09,0.415,0.2209932542032471,0.15839243806179543,0.0,0.24347305971553249,19.265717512354055,-2.9538366749025564,12.087719223024735,2.892090499880977,3.4361845628721728,1.846153846153846,0.959754877824249,0.03963481048224447,0.0005091563911931499,0.00010115530228290785,2.538956987415844,2.6691686915100252,0.3318738816635336,0.07228393667449287,0.05362222912312363,0.03342280832895899,0.02845777570813185,0.00632476588507045,0.009089311478544557,0.0012160170712002048,0.0028245580479845617,26-04-27-16-58.mat,0,2
-1.2686275243759155,1.2686275243759155,0.02,2.5215890349881334,0.09489823562615703,0.09486101665795049,0.19215688109397888,0.08122199271788953,-0.5644258259702379,2.2231001525253933,0.014285714285714285,-0.002173055639658263,0.09,0.39,0.17849551076221154,0.1514683209899305,0.0,0.24482602837968898,19.480429855955986,-2.955936270204718,12.076696184498152,2.895879120394894,3.4263597224372586,1.846153846153846,0.9599386254645143,0.03944132294307237,0.0005120748185728033,0.0001079767738105242,2.540434554853075,2.695038723704385,0.33279294240888563,0.06907536395537547,0.05239817697161781,0.04359624501037607,0.03258215401028567,0.008471159205962779,0.010592804003798573,0.0012170195353164328,0.0028790776091105565,26-04-27-16-58.mat,0,3
-1.0322580337524414,1.0322580337524414,0.0,2.389958234238329,0.09238812219262683,0.09238508726572972,0.24193547666072845,0.08081796994166715,-0.6199609643980631,2.0298914787566127,0.017857142857142856,-0.0010269149580335096,0.095,0.47,0.12349195409899702,0.2343749999772949,0.0,0.2072101391702086,13.954213576854599,-2.616670519744594,10.185921418977209,2.736114271652016,3.8787204602027643,1.2307692307692308,0.9494519438015004,0.0491447760952795,0.0011679829878380708,0.0002352971153400391,2.44428148171383,5.621650530385442,0.4542283140598542,0.07536393118233918,0.055119440367839674,0.022613399647107523,0.023214616173646837,0.006257763857225856,0.00911842461581756,0.0025234451884039765,0.004188543648122667,26-04-27-18-01.mat,1,0
-1.048387050628662,1.048387050628662,0.02,2.3909988169026324,0.09240823279847944,0.09240419307272701,0.22580644488334656,0.08104838468134404,-0.6603072482328475,2.0331892094849824,0.02857142857142857,0.0002347101171949408,0.095,0.435,0.18648882073020004,0.21538461842542211,0.0,0.21010263677327295,14.346513343201607,-2.6205529407828947,10.16612194670508,2.691184924002325,3.9178926366539004,1.2307692307692308,0.9508470207115215,0.047712280755955586,0.0011181447508607214,0.00032255378162162696,2.42217989477208,5.704413711615905,0.45699705905187565,0.08830306013116417,0.05937604543601271,0.011288980979054258,0.0165031818567651,0.003271042691498475,0.006397064087679755,0.004575365994580482,0.00552222644982174,26-04-27-18-01.mat,1,1
-1.048387050628662,1.048387050628662,0.0,2.411810470188696,0.09280952980218403,0.09280936891522233,0.22580644488334656,0.0815092141606978,-0.6286221188409684,2.0120638948810954,0.02142857142857143,-0.0006252544246885212,0.095,0.44499999999999995,0.15134204764556586,0.21538461842542211,0.0,0.20832547019778863,14.104837998267158,-2.6057123946882568,10.124849798025569,2.7147880417481627,3.8932253743505925,1.2307692307692308,0.9498945580637709,0.04881857798880153,0.0010100087906878643,0.00027685515669825534,2.4258299300988293,5.408748517671794,0.44753501192268874,0.08340543972485656,0.05797149456031718,0.01702170127658492,0.020309369958958077,0.0051363156144242856,0.008275291443894488,0.0038347464992127527,0.005170734535643494,26-04-27-18-01.mat,1,2
-1.0322580337524414,1.0322580337524414,0.0,2.4729447017165076,0.09397843030862583,0.09397843030862583,0.24193547666072845,0.082603684174163,-0.6324084173712436,1.9991838345954351,0.025,-0.0020608994379394422,0.095,0.44999999999999996,0.12106998377491517,0.2343749999772949,0.0,0.20931252320314384,14.238813020141654,-2.603252440679208,10.124862308418917,2.7014646862105245,3.838292671731745,1.2307692307692308,0.95120295044334,0.04747580637573104,0.0010605986085884963,0.00026064457229970386,2.423004066280025,5.671494889433973,0.45753250836280535,0.0744231400655859,0.05468185522238276,0.024774535237232477,0.024427683990423683,0.0055303543184713954,0.008586013653007384,0.0032507700784590293,0.004735073035971391,26-04-27-18-01.mat,1,3
-1.0967741012573242,1.0967741012573242,0.0,3.11966681940933,0.10555409614115493,0.10545345338945768,0.27419352531433105,0.09158985896834305,-0.6288136360557203,2.0152240637322776,0.017857142857142856,-0.0023589886469230856,0.09999999999999999,0.605,0.13759282499840855,0.24999999997720587,0.0,0.23463764874988025,17.892818518533456,-2.5410666811360483,9.66784220666001,2.4995848093319433,3.4319591148321344,1.2307692307692308,0.9602167459320717,0.0390141318709278,0.0005263780451025303,0.00024274415186554348,2.3737580494093278,7.427060377834469,0.5170645859282457,0.10310639127922626,0.06477737769496918,0.02512646788216443,0.024650618855115873,0.006776029874079903,0.009451781970486812,0.003506559906585822,0.004949337068922344,26-04-27-21-01.mat,2,0
-1.1290322542190552,1.1290322542190552,0.024999999999999998,3.0314774467812393,0.10405145442076172,0.10399963646851121,0.25806450843811035,0.09072580374777317,-0.626364255252118,1.9967139012731894,0.025,-0.0011347167438555423,0.095,0.44499999999999995,0.1955012778711707,0.2285714225177339,0.0,0.23571319522087184,18.05723088040067,-2.5593190188727015,9.739504290216566,2.5093685418445304,3.416510634222248,1.2307692307692308,0.9596302718151727,0.039610915472090655,0.0005562801329935576,0.00020253257971107963,2.375986698447981,6.99542578250807,0.504027332783244,0.10828297109001503,0.06579697753441124,0.014663312530815976,0.01881253828035427,0.006702888685830759,0.009453308046204206,0.003132983685167205,0.004679241147307154,26-04-27-21-01.mat,2,1
-1.1129032373428345,1.1129032373428345,0.02,3.04136298209212,0.10422097030026634,0.10414069176927176,0.25806450843811035,0.09061059637793473,-0.6473009053094722,2.024629086482333,0.02142857142857143,-0.00040083398857561353,0.09999999999999999,0.565,0.15710769755543014,0.2318840486357792,0.0,0.2343901915142325,17.855097610375537,-2.55899132510988,9.733338102707313,2.5152234936051867,3.425501028052459,1.2307692307692308,0.9591768163602961,0.04004905312949935,0.0005767862411752942,0.0001973442689967257,2.3812274765773003,7.009748703151622,0.5036260808416623,0.10658776374358103,0.06543579271754889,0.019362601237409124,0.02165531737380316,0.006149149593147968,0.009028430006839146,0.003172967834686927,0.004687768947400381,26-04-27-21-01.mat,2,2
-1.0967741012573242,1.0967741012573242,0.024999999999999998,3.0515086630690758,0.1043946609039308,0.10435803815768675,0.24193547666072845,0.09124423691204615,-0.6302857377591765,1.9726606029313023,0.017857142857142856,-0.001979919810156158,0.09999999999999999,0.595,0.21976733246643618,0.2205882472619646,0.0,0.2344653095042025,17.866543942292978,-2.5417657682069468,9.650235402625194,2.5109854736506607,3.389691748305257,1.2307692307692308,0.9596109433268876,0.03973286343244035,0.00048481610435098575,0.00017137713628884225,2.3763858096588018,6.787020041421552,0.4979446573283426,0.1147163201501171,0.06751731150901527,0.011652490172986722,0.016814079573391663,0.006279655547847493,0.00902035560725266,0.002843385836461561,0.004374382783685398,26-04-27-21-01.mat,2,3
-1.0967741012573242,1.0967741012573242,0.02,2.8631632008301997,0.10112162409745928,0.10107015896625882,0.24193547666072845,0.08813363792640823,-0.6380351921589199,1.9753712722273025,0.02142857142857143,-0.0006477159988654101,0.095,0.55,0.1956362000243629,0.2205882472619646,0.0,0.22827434789808082,16.93548282019556,-2.5647567685798265,9.77505032483079,2.58424746002525,3.640460869156855,1.2307692307692308,0.9551566874639964,0.04396391122449072,0.0006222039521637455,0.00025719735931471044,2.3964011126210845,6.394845484226412,0.48287783979009463,0.10235204847816215,0.06366088745219106,0.011411477566423288,0.01666461138170793,0.006395785083257929,0.009173140576068018,0.004748463485251877,0.005754092980515747,26-04-28-00-01.mat,3,0
-1.0967741012573242,1.0967741012573242,0.02,2.9068676727309337,0.10189048169359753,0.10181952783233897,0.25806450843811035,0.08882488214543888,-0.6348523021039189,2.000804564596616,0.017857142857142856,-0.0011720263050191682,0.09999999999999999,0.5349999999999999,0.1575185877354543,0.23529413041276223,0.0,0.2277196440470654,16.853276792599708,-2.563034036834541,9.79909182323377,2.594225803614824,3.616240682560455,1.2307692307692308,0.9545016035097865,0.044637103991056894,0.0006499314647166475,0.00021136103440565015,2.3978556411352394,6.6711623556333075,0.491731804745361,0.10075018605310805,0.06322792517506379,0.02069837800299875,0.022321191785499742,0.006010387544545902,0.008951498861718905,0.0036274665841827675,0.005023841873153762,26-04-28-00-01.mat,3,1
-1.0806450843811035,1.0806450843811035,0.02,2.840530527881606,0.10072115907440427,0.10068476555912023,0.22580644488334656,0.088076034241489,-0.6190843742154382,1.9538370582670122,0.017857142857142856,-0.0017265217127408973,0.095,0.55,0.21437370382499993,0.20895523250519638,0.0,0.2264683592559035,16.668573266819816,-2.5601999137424514,9.79290474341735,2.605900892683275,3.6836746390957367,1.2307692307692308,0.9538922566993171,0.045098706470859534,0.0007587969485965994,0.00025023988119209464,2.4009238382821394,6.267448631760292,0.47886199315762407,0.10518509324696247,0.06473083405938089,0.008427217177564094,0.014270458354787286,0.004244612959396628,0.007464137544198015,0.004491156062734764,0.005597521837665906,26-04-28-00-01.mat,3,2
-1.0967741012573242,1.0967741012573242,0.02,2.877731358130445,0.10137855785777887,0.10131563004809507,0.25806450843811035,0.08824884529624666,-0.6453521630742756,1.9896456557667364,0.02142857142857143,0.00024124602884471375,0.095,0.54,0.1694697395042918,0.23529413041276223,0.0,0.2273925086531626,16.804889722263056,-2.563549326467953,9.780631568781724,2.5803472824819447,3.607351169046169,1.2307692307692308,0.9558419471170706,0.043269236969121,0.0006416716194841455,0.00024714429428962086,2.395275054982137,6.538804368837696,0.4876033582105714,0.10007261972456834,0.06324661305164415,0.013795487686827349,0.018251356638270922,0.007287696386976818,0.009856735131764306,0.00402613090175181,0.005286504813203746,26-04-28-00-01.mat,3,3
-1.0645160675048828,1.0645160675048828,0.02,2.7447969227657136,0.09900932356467593,0.09871246520488859,0.25806450843811035,0.08173962890037469,-0.7548508581844956,2.2325072532803802,0.02857142857142857,-0.00311560649478847,0.09999999999999999,0.49500000000000005,0.18490573078979794,0.24242424918840805,0.0,0.22894835701126764,17.03563880790163,-2.6088952110972725,9.868455458319405,2.5920045441354107,3.558451057358809,1.846153846153846,0.9549484460432253,0.04433165953843782,0.0005546933264229404,0.00016520109188043584,2.405428192136919,6.558397024887542,0.4858606977344801,0.12729220602784533,0.07196253849591655,0.022636815330865687,0.0234693012767074,0.007010513044338286,0.009666852328230198,0.003237609965663079,0.004716938641626868,26-04-28-03-01.mat,4,0
-1.1129032373428345,1.1129032373428345,0.02,2.6997917143629966,0.09819426289545703,0.09814498173551087,0.27419352531433105,0.08317972097013678,-0.630840358592198,2.2100435206629148,0.02142857142857143,0.0009910147536604306,0.09999999999999999,0.61,0.1605558426572143,0.24637678828606635,0.0,0.23711153577022248,18.272111128476887,-2.66331110917354,10.222204422188543,2.482316225939704,3.505505201073101,1.2307692307692308,0.9591618630201849,0.040104260351233455,0.0004999888042928287,0.0002338878242573634,2.351127662601075,6.575644952581756,0.48900698470010556,0.11914136418549612,0.06959417794285101,0.02648485597365297,0.025395513519500895,0.007545194385335275,0.01002177635819455,0.005015583833985588,0.005881639451168664,26-04-28-03-01.mat,4,1
-1.0806450843811035,1.0806450843811035,0.02,2.9112901490542225,0.1019679597621272,0.10193201140198474,0.24193547666072845,0.0888824858303581,-0.590707701863065,1.9652468979578084,0.02142857142857143,-9.635585927810578e-05,0.09999999999999999,0.65,0.1912044553830136,0.22388060625556755,0.0,0.23155565759227598,17.42585733297219,-2.557313177633419,9.715608574758456,2.5548173051056393,3.5686530646781134,1.2307692307692308,0.9553717931113025,0.043871947634962744,0.0005726431455097375,0.0001836161081918434,2.3889188627042333,6.34631672214384,0.4821814016355077,0.1103222371256185,0.06643921255661994,0.014735639319657452,0.018836722779448322,0.006746509728263552,0.009484075465622858,0.0036450831626222632,0.005026409307140195,26-04-28-03-01.mat,4,2
-1.0645160675048828,1.0645160675048828,0.02,3.013007096318254,0.1037339849312078,0.10362107179660054,0.27419352531433105,0.08905529683189732,-0.5932559520586808,2.0459475799349742,0.025,-0.005134052343969075,0.09999999999999999,0.615,0.14667475184310294,0.25757575076462225,0.0,0.23021050039578447,17.223984210055182,-2.5350203837130962,9.616376303944493,2.603463172455474,3.57144918350788,1.846153846153846,0.9556631003435496,0.04354792760118513,0.0005874887578539238,0.00020148329737787368,2.365638159316495,7.015442770357274,0.5042955902539049,0.11152661417302993,0.0673036797449186,0.026068611411239357,0.025073752404399238,0.008500409456219873,0.01063664870100945,0.004216792695188978,0.005375672763161717,26-04-28-03-01.mat,4,3
-1.0806450843811035,1.0806450843811035,0.02,5.430540705787784,0.13926517236896083,0.1391435928826013,0.29032257199287415,0.11849077939987182,0.32425209839365665,2.157458448326222,0.017857142857142856,0.002899690195090693,0.105,0.785,0.1785688571580195,0.26865672750668107,0.0,0.25615452424925983,21.32492059534351,-1.9632324775290901,7.760680319803954,2.420233378042656,3.211493280831857,1.2307692307692308,0.96463888596633,0.034742457163100385,0.0004291324067857843,0.0001895244637563047,2.2100507262088644,9.725824986879076,0.6118778408942145,0.13865288503406847,0.07445296479886278,0.02416917399430654,0.02427650913460941,0.0062705673018639465,0.009060213906821258,0.00411760243541331,0.005362254501382418,26-04-28-06-01.mat,5,0
-1.0806450843811035,1.0806450843811035,0.12,4.219822847492743,0.12276316990002602,0.12276250768398858,0.33870965242385864,0.10812211659337793,-0.5588604509383591,2.6414342883686,0.02142857142857143,0.0013342936710273097,0.105,0.865,0.16391779632933182,0.3134328349686593,0.0,0.2535397290347705,20.891778114683078,-2.23951349872758,8.27414782285091,2.353144530417576,3.7827670596347382,1.2307692307692308,0.9613144334044021,0.037177503840595254,0.0009878276040706283,0.0005202351509046165,2.1676863580742904,12.567762410051605,0.679141255325611,0.09811692021395217,0.06258299068712976,0.019351798106484134,0.021724545108892445,0.004931604227054171,0.008086434847184366,0.0030063010605935747,0.00454678619127102,26-04-28-06-01.mat,5,1
-1.0967741012573242,1.0967741012573242,0.02,3.1714358151300175,0.10642629601093521,0.10640008747381438,0.25806450843811035,0.09302995114454202,-0.6059987805333222,1.9692733907464113,0.017857142857142856,-0.0009746472813140855,0.105,0.615,0.20116436940692634,0.23529413041276223,0.0,0.24618922985298064,19.697969491071213,-2.560724125624264,9.593592568596746,2.4767349635076745,3.313324467061941,1.2307692307692308,0.9614098648681016,0.03798411925088077,0.00039985494071584306,0.00020616094027258372,2.362940308698307,7.128774781929538,0.5105477378827608,0.12695379172261959,0.0714188956295881,0.013332091375805634,0.017959629241244533,0.006423164154150446,0.009208462681572226,0.0038228874370226803,0.0051577848519945395,26-04-28-06-01.mat,5,2
-1.0806450843811035,1.0806450843811035,0.02,3.356399383709907,0.1094858011620996,0.10941152385364658,0.29032257199287415,0.09527649485639163,-0.6370806826794856,2.0175390927192565,0.02142857142857143,-0.0009363808284606658,0.09999999999999999,0.6799999999999999,0.1537906878034293,0.26865672750668107,0.0,0.24271667926603666,19.146200578027937,-2.501374432112961,9.327303028836774,2.4696619189788573,3.2928936474388393,1.2307692307692308,0.9615250689252536,0.03783751771320208,0.00047892103682617605,0.0001584923246880658,2.3653805801834515,7.781347197263912,0.5306782529979598,0.11498184127261106,0.06845306549964854,0.023820875189156977,0.023968133175004187,0.008963041627134434,0.010893172358868884,0.0034087666369755068,0.004833099848818598,26-04-28-06-01.mat,5,3
-1.0,1.0,0.02,2.7895419773307504,0.09981307489020862,0.09978778963575223,0.24193547666072845,0.08715437528278147,-0.5843621130475807,1.9640158142651098,0.017857142857142856,-0.0018004766636567984,0.09999999999999999,0.565,0.18672657056969694,0.24193547663653492,0.0,0.2214738483888247,15.941466294050738,-2.5099247588239324,9.44564542705547,2.5855218435989737,3.616727793214889,1.2307692307692308,0.9545492753427801,0.04457884004727225,0.0006716581614953042,0.00020022644841620037,2.3882314668294615,6.322874636471831,0.48078789290002755,0.11064176375339642,0.06670918906192333,0.013973660930298497,0.01840171303640367,0.0045280181740870295,0.007768869096748803,0.003207255170473145,0.00471022805696466,26-04-28-09-01.mat,6,0
-1.0161290168762207,1.0161290168762207,0.015,2.703433761859662,0.0982604731215468,0.09817770354790585,0.25806450843811035,0.08536866105028561,-0.6291828521819323,2.0265670733214707,0.025,-0.0016923652205982171,0.09999999999999999,0.48,0.14535334735653588,0.2539682502189085,0.0,0.22006343646347967,15.739072722137687,-2.5569823448442954,9.664461791695658,2.6339062559978887,3.7335310880488066,1.2307692307692308,0.9529819395569707,0.04591239675183579,0.0008749459903460861,0.00023071770081067847,2.413484052281583,6.364185261728672,0.4794608565657122,0.08833624498472821,0.05978587412495199,0.020737756360664907,0.022411904434381964,0.006755279038147774,0.009447142521422133,0.0037623130613496595,0.005108891217636367,26-04-28-09-01.mat,6,1
-1.0161290168762207,1.0161290168762207,0.02,2.729708474133317,0.09873681601201457,0.09870856582900273,0.24193547666072845,0.08680875317326614,-0.6091542158903063,1.9508176178961232,0.02142857142857143,-0.0010469883646777602,0.09999999999999999,0.505,0.18420130195838,0.23809523458022672,0.0,0.2206138091367793,15.81789715409777,-2.538902101799862,9.58218016159517,2.6048133848135966,3.599775139512055,1.2307692307692308,0.9544080228104398,0.04474664465486651,0.0006701145578843235,0.00017521797677251305,2.4013698318002628,6.158237706639094,0.47319652970896786,0.10624393242193952,0.0658638491213416,0.012271280171556955,0.017084658555950805,0.0054283445545355155,0.008433859007375666,0.003556952106569581,0.004821623614242934,26-04-28-09-01.mat,6,2
-1.0161290168762207,1.0161290168762207,0.015,2.7104576948437082,0.09838803816020138,0.09830772185607431,0.25806450843811035,0.08577188684472016,-0.6463741797483628,2.0079922576171865,0.017857142857142856,-0.0014168753140085231,0.09999999999999999,0.48,0.1427277795593498,0.2539682502189085,0.0,0.22019979482722402,15.758583633634256,-2.5585352751816313,9.660729117502546,2.6343662391697746,3.719698038727041,1.2307692307692308,0.9527121839019325,0.0463160145229876,0.0007400658883657926,0.00023173568667758597,2.4123623645113828,6.449098807654727,0.4824728157112934,0.09010625381230926,0.060473707078411834,0.020882144293353694,0.022473293921263567,0.00601599503079155,0.008955421170813457,0.003802439109896945,0.0051564414846613105,26-04-28-09-01.mat,6,3
-0.8870967626571655,0.8870967626571655,0.01,2.1547865521058105,0.08772494660882246,0.08763485825308771,0.25806450843811035,0.0757488456687757,-0.6803032070178779,2.206573694365358,0.02142857142857143,0.0026205870210981195,0.09999999999999999,0.515,0.1133683120090334,0.2909090859897018,0.0,0.19592216361264053,12.475285613263942,-2.587069686030206,9.810354060446658,2.7518137888340592,4.102660282151923,1.2307692307692308,0.9453542079842484,0.05287835133395541,0.0014389809647753723,0.00032845971697444555,2.436312586392209,5.917740576535329,0.4591149266730017,0.05726674574323856,0.04843716400083562,0.017553764623169644,0.020551411273361384,0.006478218568016567,0.009286968732450286,0.003617809457519124,0.005029689089252095,26-04-28-12-01.mat,7,0
-0.9193547964096069,0.9193547964096069,0.015,2.087929115924331,0.08635328424402719,0.08626439830269789,0.24193547666072845,0.07453916828547205,-0.6756755827671004,2.1388897027740015,0.017857142857142856,0.0013173785792256684,0.09999999999999999,0.5,0.15120200232517383,0.2631578989735551,0.0,0.19558686061303102,12.432621514449897,-2.6076880718714714,9.942779946789596,2.777462033075387,4.118966797478957,1.2307692307692308,0.9433735835226812,0.054957971131738184,0.0013445726902799042,0.0003238726552544057,2.4470680903808772,5.519736400604133,0.4441702978771931,0.06521303346748983,0.05129911157825549,0.013051368908293766,0.01782975836902919,0.004389662575472396,0.007584527041320116,0.003207851086800855,0.0047303858450652115,26-04-28-12-01.mat,7,1
-0.9032257795333862,0.9032257795333862,0.01,2.129552422496458,0.08720977219359526,0.08716950778582122,0.22580644488334656,0.07557603461401803,-0.6394491367251965,2.089785648416572,0.02142857142857143,0.002826932801204848,0.09999999999999999,0.54,0.19230388906879958,0.24999999997232142,0.0,0.1963832869968755,12.534078508801578,-2.582303755519713,9.827439260524306,2.7797263906762137,4.174621936798571,1.2307692307692308,0.9438909745080172,0.0543587326755819,0.001396475251451669,0.000353817564903038,2.44038897668836,5.453338499312304,0.44318292663628434,0.0652551752872394,0.051387646765615205,0.009444985335569922,0.015130466511760554,0.004168943624175841,0.0074474630788763626,0.0034981473682775058,0.004941319490190481,26-04-28-12-01.mat,7,2
-0.9193547964096069,0.9193547964096069,0.015,2.185483740702754,0.08834760366834182,0.08828220927025593,0.24193547666072845,0.07690091936716012,-0.6579056360533411,2.099094681178376,0.025,-0.0006855430780200471,0.09999999999999999,0.56,0.14390629772066685,0.2631578989735551,0.0,0.19691244737884303,12.601716378135828,-2.575360817548087,9.787365497036598,2.7511670338317007,4.075177428020223,1.2307692307692308,0.945148467631062,0.0532665926112687,0.001242994674790363,0.00034194508283282547,2.4329517893607013,5.724520332670798,0.45295588835959294,0.0646884455861819,0.051360501595392564,0.012361521062480217,0.017272530433166296,0.0035665013438926007,0.006865314014942911,0.004162834293726908,0.0053906655319857725,26-04-28-12-01.mat,7,3
-0.9032257795333862,0.9032257795333862,0.015,2.074921832620541,0.08608388418572858,0.0859893947668676,0.24193547666072845,0.07419354617595672,-0.6359432973038904,2.1272795494315395,0.02857142857142857,0.001443388395269168,0.095,0.51,0.12257363438579223,0.26785714282748724,0.0,0.19292081297323016,12.095993025431916,-2.6108782268283615,10.033516521889371,2.8234041951150606,4.219107214783646,1.2307692307692308,0.9412912921352125,0.05700865996079408,0.0013493336556715833,0.0003507142482742435,2.4556922805006653,5.497752486275716,0.44128690318215924,0.05815098061258279,0.04864787767691293,0.017850514127174328,0.02085355418886011,0.005364178097673734,0.00836093567386417,0.002817624256680872,0.004419324744202194,26-04-28-15-01.mat,8,0
